Gene description	Synonyms
Sprouty RTK signaling antagonist 1	SPRY-1; SPRY1
Sprouty RTK signaling antagonist 2	SPRY-2; SPRY2
Sprouty RTK signaling antagonist 3	SPRY-3; SPRY3
Sprouty RTK signaling antagonist 4	SPRY-4; SPRY4
SprT-like N-terminal domain	SPRTN
SPRY domain containing 3	SPRYD-3; SPRYD3
SPRY domain containing 4	SPRYD-4; SPRYD4
SPRY domain containing 7	SPRYD-7; SPRYD7
SPT16 homolog, facilitates chromatin remodeling subunit	SUPT16H
SPT2 chromatin protein domain containing 1	SPTY2D1
SPT20 homolog, SAGA complex component	SUPT20H
SPT3 homolog, SAGA and STAGA complex component	SUPT3H
SPT4 homolog, DSIF elongation factor subunit	SUPT4H1
SPT5 homolog, DSIF elongation factor subunit	SUPT5H
SPT6 homolog, histone chaperone and transcription elongation factor	SUPT6H
SPT7 like, STAGA complex subunit gamma	SUPT7L
Squalene epoxidase	SQLE
SR-related CTD associated factor 1	SCAF-1; SCAF1
SR-related CTD associated factor 11	SCAF-11; SCAF11
SR-related CTD associated factor 4	SCAF-4; SCAF4
SR-related CTD associated factor 8	SCAF-8; SCAF8
SRA stem-loop interacting RNA binding protein	SLIRP
Src homology 2 domain containing E	SHE
Src homology 2 domain containing F	SHF
Src homology 2 domain containing transforming protein D	SHD
Src kinase associated phosphoprotein 1	SKAP-1; SKAP1
Src kinase associated phosphoprotein 2	SKAP-2; SKAP2
SRC kinase signaling inhibitor 1	SRCIN-1; SRCIN1
Src like adaptor	SLA
Src like adaptor 2	SLA-2; SLA2
SRC proto-oncogene, non-receptor tyrosine kinase	SRC
Src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	SRMS
SREBF chaperone	SCAP
SREBF pathway regulator in golgi 1	SPRING-1; SPRING1
SREK1 interacting protein 1	SREK1IP1
SRP receptor subunit alpha	SRPRA
SRP receptor subunit beta	SRPRB
SRSF protein kinase 1	SRPK-1; SRPK1
SRSF protein kinase 2	SRPK-2; SRPK2
SRSF protein kinase 3	SRPK-3; SRPK3
SRY-box transcription factor 1	SOX-1; SOX1
SRY-box transcription factor 10	SOX-10; SOX10
SRY-box transcription factor 11	SOX-11; SOX11
SRY-box transcription factor 13	SOX-13; SOX13
SRY-box transcription factor 14	SOX-14; SOX14
SRY-box transcription factor 15	SOX-15; SOX15
SRY-box transcription factor 17	SOX-17; SOX17
SRY-box transcription factor 18	SOX-18; SOX18
SRY-box transcription factor 2	SOX-2; SOX2
SRY-box transcription factor 3	SOX-3; SOX3
SRY-box transcription factor 30	SOX-30; SOX30
SRY-box transcription factor 4	SOX-4; SOX4
SRY-box transcription factor 5	SOX-5; SOX5
SRY-box transcription factor 6	SOX-6; SOX6
SRY-box transcription factor 7	SOX-7; SOX7
SRY-box transcription factor 9	SOX-9; SOX9
SS nuclear autoantigen 1	SSNA-1; SSNA1
SS18 like 2	SS18 like-2; SS18L2
SS18 subunit of BAF chromatin remodeling complex	SS-18; SS18
SS18L1 subunit of BAF chromatin remodeling complex	SS18L1
Ssu-2 homolog	SSUH-2; SSUH2
SSU72 homolog, RNA polymerase II CTD phosphatase	SSU-72; SSU72
SSX family member 1	SSX-1; SSX1
SSX family member 2	SSX-2; SSX2
SSX family member 2 interacting protein	SSX2IP
SSX family member 2B	SSX2B
SSX family member 3	SSX-3; SSX3
SSX family member 4	SSX-4; SSX4
SSX family member 4B	SSX4B
SSX family member 5	SSX-5; SSX5
SSX family member 7	SSX-7; SSX7
ST13 Hsp70 interacting protein	ST-13; ST13
ST14 transmembrane serine protease matriptase	ST-14; ST14
ST18 C2H2C-type zinc finger transcription factor	ST-18; ST18
ST3 beta-galactoside alpha-2,3-sialyltransferase 1	ST3GAL1
ST3 beta-galactoside alpha-2,3-sialyltransferase 2	ST3GAL2
ST3 beta-galactoside alpha-2,3-sialyltransferase 3	ST3GAL3
ST3 beta-galactoside alpha-2,3-sialyltransferase 4	ST3GAL4
ST3 beta-galactoside alpha-2,3-sialyltransferase 5	ST3GAL5
ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ST3GAL6
ST6 beta-galactoside alpha-2,6-sialyltransferase 1	ST6GAL1
ST6 beta-galactoside alpha-2,6-sialyltransferase 2	ST6GAL2
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ST6GALNAC1
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	ST6GALNAC2
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	ST6GALNAC3
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	ST6GALNAC6
ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	ST8SIA1
ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	ST8SIA3
ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	ST8SIA4
ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	ST8SIA5
Stabilin 1	STAB-1; STAB1; Stabilin-1
Stabilin 2	STAB-2; STAB2; Stabilin-2
Stabilizer of axonemal microtubules 1	SAXO-1; SAXO1
Stabilizer of axonemal microtubules 2	SAXO-2; SAXO2
STAM binding protein	STAMBP
STAM binding protein like 1	STAMBPL-1; STAMBPL1
Stannin	SNN
Stanniocalcin 1	Stanniocalcin-1; STC-1; STC1
Stanniocalcin 2	Stanniocalcin-2; STC-2; STC2
Staphylococcal nuclease and tudor domain containing 1	SND-1; SND1
StAR related lipid transfer domain containing 10	STARD-10; STARD10
StAR related lipid transfer domain containing 13	STARD-13; STARD13
StAR related lipid transfer domain containing 3	STARD-3; STARD3
StAR related lipid transfer domain containing 4	STARD-4; STARD4
StAR related lipid transfer domain containing 5	STARD-5; STARD5
StAR related lipid transfer domain containing 6	STARD-6; STARD6
StAR related lipid transfer domain containing 7	STARD-7; STARD7
StAR related lipid transfer domain containing 8	STARD-8; STARD8
StAR related lipid transfer domain containing 9	STARD-9; STARD9
Starch binding domain 1	STBD-1; STBD1
STARD3 N-terminal like	STARD3NL
Statherin	STATH
Stathmin 1	Stathmin-1; STMN-1; STMN1
Stathmin 2	Stathmin-2; STMN-2; STMN2
Stathmin 3	Stathmin-3; STMN-3; STMN3
Stathmin 4	Stathmin-4; STMN-4; STMN4
Staufen double-stranded RNA binding protein 1	STAU-1; STAU1
Staufen double-stranded RNA binding protein 2	STAU-2; STAU2
STE20 like kinase	SLK
STE20 related adaptor alpha	STRADA
STE20 related adaptor beta	STRADB
STEAP family member 1	STEAP-1; STEAP1
STEAP family member 1B	STEAP1B
STEAP2 metalloreductase	STEAP-2; STEAP2
STEAP3 metalloreductase	STEAP-3; STEAP3
STEAP4 metalloreductase	STEAP-4; STEAP4
Stearoyl-CoA desaturase	SCD
Stearoyl-CoA desaturase 5	SCD-5; SCD5; Stearoyl-CoA desaturase-5
Stem-loop binding protein	SLBP
Sterile alpha and TIR motif containing 1	SARM-1; SARM1
Sterile alpha motif domain containing 11	SAMD-11; SAMD11
Sterile alpha motif domain containing 12	SAMD-12; SAMD12
Sterile alpha motif domain containing 3	SAMD-3; SAMD3
Sterile alpha motif domain containing 4A	SAMD4A
Sterile alpha motif domain containing 4B	SAMD4B
Sterile alpha motif domain containing 5	SAMD-5; SAMD5
Sterile alpha motif domain containing 7	SAMD-7; SAMD7
Sterile alpha motif domain containing 8	SAMD-8; SAMD8
Sterile alpha motif domain containing 9	SAMD-9; SAMD9
Sterile alpha motif domain containing 9 like	SAMD9L
Steroid 5 alpha-reductase 1	SRD5A1
Steroid 5 alpha-reductase 2	SRD5A2
Steroid 5 alpha-reductase 3	SRD5A3
Steroid receptor associated and regulated protein	SRARP
Steroid receptor RNA activator 1	SRA-1; SRA1
Steroidogenic acute regulatory protein	STAR
Sterol carrier protein 2	SCP-2; SCP2
Sterol O-acyltransferase 1	SOAT-1; SOAT1; Sterol O-acyltransferase-1
Sterol O-acyltransferase 2	SOAT-2; SOAT2; Sterol O-acyltransferase-2
Sterol regulatory element binding transcription factor 1	SREBF-1; SREBF1
Sterol regulatory element binding transcription factor 2	SREBF-2; SREBF2
Sterol-C5-desaturase	SC5D
STIL centriolar assembly protein	STIL
STIM activating enhancer	STIMATE
Stimulated by retinoic acid 8	STRA-8; STRA8
Stimulator of chondrogenesis 1	SCRG-1; SCRG1
Stimulator of interferon response cGAMP interactor 1	STING-1; STING1
STING1 ER exit protein 1	STEEP-1; STEEP1
STIP1 homology and U-box containing protein 1	STUB-1; STUB1
STN1 subunit of CST complex	STN-1; STN1
Stomatin	STOM
Stomatin like 1	Stomatin like-1; STOML-1; STOML1
Stomatin like 2	Stomatin like-2; STOML-2; STOML2
Stomatin like 3	Stomatin like-3; STOML-3; STOML3
Stonin 1	STON-1; STON1; Stonin-1
Stonin 2	STON-2; STON2; Stonin-2
Store-operated calcium entry associated regulatory factor	SARAF
Storkhead box 1	Storkhead box-1; STOX-1; STOX1
Stratifin	SFN
Strawberry notch homolog 1	SBNO-1; SBNO1
Stress associated endoplasmic reticulum protein 1	SERP-1; SERP1
Stress associated endoplasmic reticulum protein family member 2	SERP-2; SERP2
Stress induced phosphoprotein 1	STIP-1; STIP1
Striated muscle enriched protein kinase	SPEG
Striatin	STRN
Striatin 3	Striatin-3; STRN-3; STRN3
Striatin 4	Striatin-4; STRN-4; STRN4
Striatin interacting protein 1	STRIP-1; STRIP1
Striatin interacting protein 2	STRIP-2; STRIP2
Stromal antigen 1	STAG-1; STAG1; Stromal antigen-1
Stromal antigen 2	STAG-2; STAG2; Stromal antigen-2
Stromal antigen 3	STAG-3; STAG3; Stromal antigen-3
Stromal cell derived factor 2	SDF-2; SDF2
Stromal cell derived factor 2 like 1	SDF2L1
Stromal interaction molecule 1	STIM-1; STIM1
Stromal interaction molecule 2	STIM-2; STIM2
Structural maintenance of chromosomes 1A	SMC1A
Structural maintenance of chromosomes 2	SMC-2; SMC2
Structural maintenance of chromosomes 3	SMC-3; SMC3
Structural maintenance of chromosomes 4	SMC-4; SMC4
Structural maintenance of chromosomes 5	SMC-5; SMC5
Structural maintenance of chromosomes 6	SMC-6; SMC6
Structural maintenance of chromosomes flexible hinge domain containing 1	SMCHD-1; SMCHD1
Structure specific recognition protein 1	SSRP-1; SSRP1
STT3 oligosaccharyltransferase complex catalytic subunit A	STT3A
STT3 oligosaccharyltransferase complex catalytic subunit B	STT3B
Stum, mechanosensory transduction mediator homolog	STUM
SUB1 regulator of transcription	SUB-1; SUB1
Submaxillary gland androgen regulated protein 3A	SMR3A
Submaxillary gland androgen regulated protein 3B	SMR3B
Succinate dehydrogenase complex assembly factor 1	SDHAF-1; SDHAF1
Succinate dehydrogenase complex assembly factor 2	SDHAF-2; SDHAF2
Succinate dehydrogenase complex assembly factor 3	SDHAF-3; SDHAF3
Succinate dehydrogenase complex assembly factor 4	SDHAF-4; SDHAF4
Succinate dehydrogenase complex flavoprotein subunit A	SDHA
Succinate dehydrogenase complex iron sulfur subunit B	SDHB
Succinate dehydrogenase complex subunit C	SDHC
Succinate dehydrogenase complex subunit D	SDHD
Succinate receptor 1	Succinate receptor-1; SUCNR-1; SUCNR1
Succinate-CoA ligase ADP-forming subunit beta	SUCLA-2; SUCLA2
Succinate-CoA ligase GDP-forming subunit beta	SUCLG-2; SUCLG2
Succinate-CoA ligase GDP/ADP-forming subunit alpha	SUCLG-1; SUCLG1
Succinyl-CoA:glutarate-CoA transferase	SUGCT
Sucrase-isomaltase	SI
SUFU negative regulator of hedgehog signaling	SUFU
Sulfatase 1	SULF-1; SULF1; Sulfatase-1
Sulfatase 2	SULF-2; SULF2; Sulfatase-2
Sulfatase modifying factor 1	SUMF-1; SUMF1
Sulfatase modifying factor 2	SUMF-2; SUMF2
Sulfide quinone oxidoreductase	SQOR
Sulfiredoxin 1	SRXN-1; SRXN1; Sulfiredoxin-1
Sulfite oxidase	SUOX
Sulfotransferase family 1A member 1	SULT1A1
Sulfotransferase family 1A member 2	SULT1A2
Sulfotransferase family 1A member 3	SULT1A3
Sulfotransferase family 1A member 4	SULT1A4
Sulfotransferase family 1B member 1	SULT1B1
Sulfotransferase family 1C member 2	SULT1C2
Sulfotransferase family 1C member 3	SULT1C3
Sulfotransferase family 1C member 4	SULT1C4
Sulfotransferase family 1E member 1	SULT1E1
Sulfotransferase family 2A member 1	SULT2A1
Sulfotransferase family 2B member 1	SULT2B1
Sulfotransferase family 4A member 1	SULT4A1
SUMO interacting motifs containing 1	SIMC-1; SIMC1
SUMO peptidase family member, NEDD8 specific	SENP-8; SENP8
SUMO specific peptidase 1	SENP-1; SENP1
SUMO specific peptidase 2	SENP-2; SENP2
SUMO specific peptidase 3	SENP-3; SENP3
SUMO specific peptidase 5	SENP-5; SENP5
SUMO specific peptidase 6	SENP-6; SENP6
SUMO specific peptidase 7	SENP-7; SENP7
SUMO1 activating enzyme subunit 1	SAE-1; SAE1
SUN domain containing ossification factor	SUCO
Superoxide dismutase 1	SOD-1; SOD1; Superoxide dismutase-1
Superoxide dismutase 2	SOD-2; SOD2; Superoxide dismutase-2
Superoxide dismutase 3	SOD-3; SOD3; Superoxide dismutase-3
Supervillin	SVIL
Suppression of tumorigenicity 7	ST-7; ST7
Suppressor APC domain containing 1	SAPCD-1; SAPCD1
Suppressor APC domain containing 2	SAPCD-2; SAPCD2
Suppressor of cancer cell invasion	SCAI
Suppressor of cytokine signaling 1	SOCS-1; SOCS1
Suppressor of cytokine signaling 2	SOCS-2; SOCS2
Suppressor of cytokine signaling 3	SOCS-3; SOCS3
Suppressor of cytokine signaling 4	SOCS-4; SOCS4
Suppressor of cytokine signaling 5	SOCS-5; SOCS5
Suppressor of cytokine signaling 6	SOCS-6; SOCS6
Suppressor of cytokine signaling 7	SOCS-7; SOCS7
Suppressor of glucose, autophagy associated 1	SOGA-1; SOGA1
Suppressor of IKBKE 1	SIKE-1; SIKE1
Suprabasin	SBSN
SURF1 cytochrome c oxidase assembly factor	SURF-1; SURF1
Surfactant associated 2	SFTA-2; SFTA2; Surfactant associated-2
Surfactant protein A1	SFTPA-1; SFTPA1
Surfactant protein A2	SFTPA-2; SFTPA2
Surfactant protein B	SFTPB
Surfactant protein C	SFTPC
Surfactant protein D	SFTPD
Surfeit 2	SURF-2; SURF2; Surfeit-2
Surfeit 4	SURF-4; SURF4; Surfeit-4
Surfeit 6	SURF-6; SURF6; Surfeit-6
SURP and G-patch domain containing 1	SUGP-1; SUGP1
SURP and G-patch domain containing 2	SUGP-2; SUGP2
Survival motor neuron domain containing 1	SMNDC-1; SMNDC1
Survival of motor neuron 1, telomeric	SMN-1; SMN1
Survival of motor neuron 2, centromeric	SMN-2; SMN2
Sushi domain containing 1	SUSD-1; SUSD1
Sushi domain containing 2	SUSD-2; SUSD2
Sushi domain containing 3	SUSD-3; SUSD3
Sushi domain containing 4	SUSD-4; SUSD4
Sushi domain containing 5	SUSD-5; SUSD5
Sushi domain containing 6	SUSD-6; SUSD6
Sushi repeat containing protein X-linked	SRPX
Sushi repeat containing protein X-linked 2	SRPX-2; SRPX2
Sushi, nidogen and EGF like domains 1	SNED-1; SNED1
Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	SVEP-1; SVEP1
Suv3 like RNA helicase	SUPV3L1
SUV39H1 histone lysine methyltransferase	SUV39H1
SUV39H2 histone lysine methyltransferase	SUV39H2
SUZ RNA binding domain containing 1	SZRD-1; SZRD1
SUZ12 polycomb repressive complex 2 subunit	SUZ-12; SUZ12
SV2 related protein	SVOP
SVOP like	SVOPL
SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	SMARCC-1; SMARCC1
SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	SMARCC-2; SMARCC2
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	SMARCAL-1; SMARCAL1
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA-1; SMARCA1
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA-2; SMARCA2
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA-4; SMARCA4
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	SMARCA-5; SMARCA5
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SMARCB-1; SMARCB1
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	SMARCD-1; SMARCD1
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	SMARCD-2; SMARCD2
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	SMARCD-3; SMARCD3
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	SMARCE-1; SMARCE1
SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	SMARCAD-1; SMARCAD1
SWI5 dependent homologous recombination repair protein 1	SFR-1; SFR1
SWIM-type zinc finger 7 associated protein 1	SWSAP-1; SWSAP1
Switching B cell complex subunit SWAP70	SWAP-70; SWAP70
SYF2 pre-mRNA splicing factor	SYF-2; SYF2
Symplekin scaffold protein	SYMPK
Synapse associated protein 1	SYAP-1; SYAP1
Synapse defective Rho GTPase homolog 1	SYDE-1; SYDE1
Synapse defective Rho GTPase homolog 2	SYDE-2; SYDE2
Synapse differentiation inducing 1	SYNDIG-1; SYNDIG1
Synapsin I	SYN-1; SYN1
Synapsin II	SYN-2; SYN2
Synapsin III	SYN-3; SYN3
Synaptic Ras GTPase activating protein 1	SYNGAP-1; SYNGAP1
Synaptic vesicle glycoprotein 2A	SV2A
Synaptic vesicle glycoprotein 2B	SV2B
Synaptic vesicle glycoprotein 2C	SV2C
Synaptogyrin 1	Synaptogyrin-1; SYNGR-1; SYNGR1
Synaptogyrin 2	Synaptogyrin-2; SYNGR-2; SYNGR2
Synaptogyrin 3	Synaptogyrin-3; SYNGR-3; SYNGR3
Synaptojanin 1	Synaptojanin-1; SYNJ-1; SYNJ1
Synaptojanin 2	Synaptojanin-2; SYNJ-2; SYNJ2
Synaptojanin 2 binding protein	SYNJ2BP
Synaptonemal complex central element protein 1	SYCE-1; SYCE1
Synaptonemal complex central element protein 2	SYCE-2; SYCE2
Synaptonemal complex central element protein 3	SYCE-3; SYCE3
Synaptonemal complex protein 1	SYCP-1; SYCP1
Synaptonemal complex protein 2 like	SYCP2L
Synaptonemal complex protein 3	SYCP-3; SYCP3
Synaptophysin	SYP
Synaptophysin like 1	Synaptophysin like-1; SYPL-1; SYPL1
Synaptophysin like 2	Synaptophysin like-2; SYPL-2; SYPL2
Synaptopodin	SYNPO
Synaptopodin 2	Synaptopodin-2; SYNPO-2; SYNPO2
Synaptopodin 2 like	SYNPO2L
Synaptoporin	SYNPR
Synaptosome associated protein 23	SNAP-23; SNAP23
Synaptosome associated protein 25	SNAP-25; SNAP25
Synaptosome associated protein 29	SNAP-29; SNAP29
Synaptosome associated protein 47	SNAP-47; SNAP47
Synaptosome associated protein 91	SNAP-91; SNAP91
Synaptotagmin 1	Synaptotagmin-1; SYT-1; SYT1
Synaptotagmin 11	Synaptotagmin-11; SYT-11; SYT11
Synaptotagmin 12	Synaptotagmin-12; SYT-12; SYT12
Synaptotagmin 13	Synaptotagmin-13; SYT-13; SYT13
Synaptotagmin 14	Synaptotagmin-14; SYT-14; SYT14
Synaptotagmin 15	Synaptotagmin-15; SYT-15; SYT15
Synaptotagmin 16	Synaptotagmin-16; SYT-16; SYT16
Synaptotagmin 17	Synaptotagmin-17; SYT-17; SYT17
Synaptotagmin 2	Synaptotagmin-2; SYT-2; SYT2
Synaptotagmin 3	Synaptotagmin-3; SYT-3; SYT3
Synaptotagmin 4	Synaptotagmin-4; SYT-4; SYT4
Synaptotagmin 5	Synaptotagmin-5; SYT-5; SYT5
Synaptotagmin 6	Synaptotagmin-6; SYT-6; SYT6
Synaptotagmin 7	Synaptotagmin-7; SYT-7; SYT7
Synaptotagmin 9	Synaptotagmin-9; SYT-9; SYT9
Synaptotagmin binding cytoplasmic RNA interacting protein	SYNCRIP
Synaptotagmin like 1	Synaptotagmin like-1; SYTL-1; SYTL1
Synaptotagmin like 2	Synaptotagmin like-2; SYTL-2; SYTL2
Synaptotagmin like 3	Synaptotagmin like-3; SYTL-3; SYTL3
Synaptotagmin like 4	Synaptotagmin like-4; SYTL-4; SYTL4
Synaptotagmin like 5	Synaptotagmin like-5; SYTL-5; SYTL5
Syncoilin, intermediate filament protein	SYNC
Syndecan 1	SDC-1; SDC1; Syndecan-1
Syndecan 2	SDC-2; SDC2; Syndecan-2
Syndecan 3	SDC-3; SDC3; Syndecan-3
Syndecan 4	SDC-4; SDC4; Syndecan-4
Syndecan binding protein	SDCBP
Syndecan binding protein 2	SDCBP-2; SDCBP2
Synemin	SYNM
Synergin gamma	SYNRG
Synoviolin 1	Synoviolin-1; SYVN-1; SYVN1
Syntabulin	SYBU
Syntaphilin	SNPH
Syntaxin 10	STX-10; STX10; Syntaxin-10
Syntaxin 11	STX-11; STX11; Syntaxin-11
Syntaxin 12	STX-12; STX12; Syntaxin-12
Syntaxin 16	STX-16; STX16; Syntaxin-16
Syntaxin 17	STX-17; STX17; Syntaxin-17
Syntaxin 18	STX-18; STX18; Syntaxin-18
Syntaxin 19	STX-19; STX19; Syntaxin-19
Syntaxin 1A	STX1A
Syntaxin 1B	STX1B
Syntaxin 2	STX-2; STX2; Syntaxin-2
Syntaxin 3	STX-3; STX3; Syntaxin-3
Syntaxin 4	STX-4; STX4; Syntaxin-4
Syntaxin 5	STX-5; STX5; Syntaxin-5
Syntaxin 6	STX-6; STX6; Syntaxin-6
Syntaxin 7	STX-7; STX7; Syntaxin-7
Syntaxin 8	STX-8; STX8; Syntaxin-8
Syntaxin binding protein 1	STXBP-1; STXBP1
Syntaxin binding protein 2	STXBP-2; STXBP2
Syntaxin binding protein 3	STXBP-3; STXBP3
Syntaxin binding protein 4	STXBP-4; STXBP4
Syntaxin binding protein 5	STXBP-5; STXBP5
Syntaxin binding protein 5L	STXBP5L
Syntaxin binding protein 6	STXBP-6; STXBP6
Synthesis of cytochrome C oxidase 1	SCO-1; SCO1
Synthesis of cytochrome C oxidase 2	SCO-2; SCO2
Syntrophin alpha 1	SNTA-1; SNTA1; Syntrophin alpha-1
Syntrophin beta 1	SNTB-1; SNTB1; Syntrophin beta-1
Syntrophin beta 2	SNTB-2; SNTB2; Syntrophin beta-2
Syntrophin gamma 1	SNTG-1; SNTG1; Syntrophin gamma-1
Syntrophin gamma 2	SNTG-2; SNTG2; Syntrophin gamma-2
Synuclein alpha	SNCA
Synuclein alpha interacting protein	SNCAIP
Synuclein beta	SNCB
Synuclein gamma	SNCG
SYS1 golgi trafficking protein	SYS-1; SYS1
SZT2 subunit of KICSTOR complex	SZT-2; SZT2
T cell activation RhoGTPase activating protein	TAGAP
T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	TCIRG-1; TCIRG1
T cell immunoglobulin and mucin domain containing 4	TIMD-4; TIMD4
T cell immunoreceptor with Ig and ITIM domains	TIGIT
T cell leukemia homeobox 1	TLX-1; TLX1
T cell leukemia homeobox 2	TLX-2; TLX2
T cell leukemia homeobox 3	TLX-3; TLX3
T cell leukemia translocation altered	TCTA
T cell receptor alpha constant	TRAC
T cell receptor alpha variable 10	TRAV-10; TRAV10
T cell receptor alpha variable 12-2	TRAV12-2
T cell receptor alpha variable 12-3	TRAV12-3
T cell receptor alpha variable 20	TRAV-20; TRAV20
T cell receptor alpha variable 21	TRAV-21; TRAV21
T cell receptor alpha variable 22	TRAV-22; TRAV22
T cell receptor alpha variable 24	TRAV-24; TRAV24
T cell receptor alpha variable 26-1	TRAV26-1
T cell receptor alpha variable 27	TRAV-27; TRAV27
T cell receptor alpha variable 29/delta variable 5	TRAV29DV5
T cell receptor alpha variable 30	TRAV-30; TRAV30
T cell receptor alpha variable 4	TRAV-4; TRAV4
T cell receptor associated transmembrane adaptor 1	TRAT-1; TRAT1
T cell receptor beta constant 1	TRBC-1; TRBC1
T cell receptor beta constant 2	TRBC-2; TRBC2
T cell receptor beta joining 1-2	TRBJ1-2
T cell receptor beta joining 2-3	TRBJ2-3
T cell receptor beta variable 12-3	TRBV12-3
T cell receptor beta variable 12-4	TRBV12-4
T cell receptor beta variable 14	TRBV-14; TRBV14
T cell receptor beta variable 17 (non-functional)	TRBV-17; TRBV17
T cell receptor beta variable 19	TRBV-19; TRBV19
T cell receptor beta variable 23-1 (non-functional)	TRBV23-1
T cell receptor beta variable 28	TRBV-28; TRBV28
T cell receptor beta variable 5-1	TRBV5-1
T cell receptor beta variable 5-3 (non-functional)	TRBV5-3
T cell receptor beta variable 5-7 (non-functional)	TRBV5-7
T cell receptor beta variable 6-5	TRBV6-5
T cell receptor beta variable 6-7 (non-functional)	TRBV6-7
T cell receptor beta variable 7-1 (non-functional)	TRBV7-1
T cell receptor beta variable 7-3	TRBV7-3
T cell receptor beta variable 7-9	TRBV7-9
T cell receptor beta variable 9	TRBV-9; TRBV9
T cell receptor delta constant	TRDC
T cell receptor delta diversity 1	TRDD-1; TRDD1
T cell receptor delta joining 1	TRDJ-1; TRDJ1
T cell receptor delta variable 1	TRDV-1; TRDV1
T cell receptor delta variable 2	TRDV-2; TRDV2
T cell receptor delta variable 3	TRDV-3; TRDV3
T cell receptor gamma joining 1	TRGJ-1; TRGJ1
T cell receptor gamma variable 1 (non-functional)	TRGV-1; TRGV1
T cell receptor gamma variable 10 (non-functional)	TRGV-10; TRGV10
T cell receptor gamma variable 11 (non-functional)	TRGV-11; TRGV11
T cell receptor gamma variable 2	TRGV-2; TRGV2
T cell receptor gamma variable 3	TRGV-3; TRGV3
T cell receptor gamma variable 4	TRGV-4; TRGV4
T cell receptor gamma variable 5	TRGV-5; TRGV5
T cell receptor gamma variable 8	TRGV-8; TRGV8
T cell receptor gamma variable 9	TRGV-9; TRGV9
T cell-interacting, activating receptor on myeloid cells 1	TARM-1; TARM1
T-box brain transcription factor 1	TBR-1; TBR1
T-box transcription factor 1	TBX-1; TBX1
T-box transcription factor 15	TBX-15; TBX15
T-box transcription factor 18	TBX-18; TBX18
T-box transcription factor 19	TBX-19; TBX19
T-box transcription factor 2	TBX-2; TBX2
T-box transcription factor 20	TBX-20; TBX20
T-box transcription factor 21	TBX-21; TBX21
T-box transcription factor 22	TBX-22; TBX22
T-box transcription factor 3	TBX-3; TBX3
T-box transcription factor 4	TBX-4; TBX4
T-box transcription factor 5	TBX-5; TBX5
T-box transcription factor 6	TBX-6; TBX6
T-box transcription factor T	TBXT
T-complex 1	T-complex-1; TCP-1; TCP1
T-complex 10 like	TCP10L
T-complex 11	T-complex-11; TCP-11; TCP11
T-complex 11 like 1	TCP11L1
T-complex 11 like 2	TCP11L2
T-SNARE domain containing 1	TSNARE-1; TSNARE1
Tachykinin precursor 1	TAC-1; TAC1; Tachykinin precursor-1
Tachykinin precursor 3	TAC-3; TAC3; Tachykinin precursor-3
Tachykinin precursor 4	TAC-4; TAC4; Tachykinin precursor-4
Tachykinin receptor 1	Tachykinin receptor-1; TACR-1; TACR1
Tachykinin receptor 2	Tachykinin receptor-2; TACR-2; TACR2
Tachykinin receptor 3	Tachykinin receptor-3; TACR-3; TACR3
TAFA chemokine like family member 1	TAFA-1; TAFA1
TAFA chemokine like family member 4	TAFA-4; TAFA4
TAFA chemokine like family member 5	TAFA-5; TAFA5
Tafazzin, phospholipid-lysophospholipid transacylase	TAFAZZIN
TAL bHLH transcription factor 1, erythroid differentiation factor	TAL-1; TAL1
TAL bHLH transcription factor 2	TAL-2; TAL2
